Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;11/11/2021;Transferência - Liquidação;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;NU INVEST CORRETORA DE VALORES S.A.;39; R$94,75 ; R$3.695,25 
Debito;10/11/2021;Transferência - Liquidação;BPAC11 - BANCO BTG PACTUAL S/A;NU INVEST CORRETORA DE VALORES S.A.;11; R$23,81 ; R$261,91 
Credito;10/11/2021;Transferência - Liquidação;GGRC11 - GGR COVEPI RENDA FDO INV IMOB;NU INVEST CORRETORA DE VALORES S.A.;9; R$110,30 ; R$992,70 
Credito;10/11/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;100; R$7,51 ; R$751,00 
Credito;10/11/2021;Transferência - Liquidação;KLBN4 - KLABIN S/A;NU INVEST CORRETORA DE VALORES S.A.;77; R$4,33 ; R$333,41 
Credito;10/11/2021;Transferência - Liquidação;VISC11 - VINCI SHOPPING CENTERS FI IMOBILIÁRIO - FII;NU INVEST CORRETORA DE VALORES S.A.;10; R$98,00 ; R$980,00 
Credito;10/11/2021;Transferência - Liquidação;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;NU INVEST CORRETORA DE VALORES S.A.;5; R$95,50 ; R$477,50 
Credito;09/11/2021;Rendimento;GGRC11 - GGR COVEPI RENDA FDO INV IMOB;NU INVEST CORRETORA DE VALORES S.A.;25; R$0,80 ; R$20,00 
Debito;05/11/2021;Transferência - Liquidação;VIVT3 - TELEFONICA BRASIL S/A;NU INVEST CORRETORA DE VALORES S.A.;11; R$48,44 ; R$532,84 
Debito;05/11/2021;Transferência - Liquidação;WEGE3 - WEG S.A.;NU INVEST CORRETORA DE VALORES S.A.;20; R$37,01 ; R$740,20 
Credito;01/11/2021;Juros Sobre Capital Próprio;BBDC3 - BANCO BRADESCO S/A;NU INVEST CORRETORA DE VALORES S.A.;180; R$0,02 ; R$2,64 
Credito;01/11/2021;Direito de Subscrição;GGRC12 - GGR COVEPI RENDA FDO INV IMOB;NU INVEST CORRETORA DE VALORES S.A.;6; - ; - 
Debito;29/10/2021;Transferência - Liquidação;BBSE3 - BB SEGURIDADE PARTICIPACOES S.A.;CLEAR CORRETORA - GRUPO XP;5; R$22,52 ; R$112,60 
Debito;29/10/2021;Transferência - Liquidação;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;NU INVEST CORRETORA DE VALORES S.A.;50; R$70,15 ; R$3.507,72 
Debito;29/10/2021;Transferência - Liquidação;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;15; R$105,92 ; R$1.588,88 
Credito;29/10/2021;Transferência - Liquidação;GGRC11 - GGR COVEPI RENDA FDO INV IMOB;NU INVEST CORRETORA DE VALORES S.A.;25; R$111,79 ; R$2.794,99 
Debito;29/10/2021;Transferência - Liquidação;HCTR11 - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;NU INVEST CORRETORA DE VALORES S.A.;25; R$123,73 ; R$3.093,25 
Credito;29/10/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;203; R$7,50 ; R$1.524,39 
Debito;29/10/2021;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S/A;CLEAR CORRETORA - GRUPO XP;81; R$11,58 ; R$937,98 
Credito;29/10/2021;Dividendo;PSSA3 - PORTO SEGURO S/A;CLEAR CORRETORA - GRUPO XP;14; R$0,92 ; R$12,92 
Credito;29/10/2021;Transferência - Liquidação;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;10; R$99,24 ; R$992,40 
Debito;29/10/2021;Transferência - Liquidação;SAPR4 - CIA DE SANEAMENTO DO PARANA - SANEPAR;CLEAR CORRETORA - GRUPO XP;200; R$3,80 ; R$760,00 
Credito;29/10/2021;Transferência - Liquidação;VINO11 - VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;10; R$60,08 ; R$600,80 
Debito;29/10/2021;Transferência - Liquidação;VIVT3 - TELEFONICA BRASIL S/A;CLEAR CORRETORA - GRUPO XP;28; R$44,50 ; R$1.246,00 
Credito;29/10/2021;Transferência - Liquidação;XPLG11 - XP LOG FUNDO DE INVESTIMENTO IMOBILIARIO FII;NU INVEST CORRETORA DE VALORES S.A.;20; R$99,06 ; R$1.981,23 
Credito;29/10/2021;Transferência - Liquidação;XPML11 - XP MALLS FDO INV IMOB FII;NU INVEST CORRETORA DE VALORES S.A.;3; R$98,59 ; R$295,78 
Credito;28/10/2021;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S/A;NU INVEST CORRETORA DE VALORES S.A.;3; R$11,78 ; R$35,34 
Credito;26/10/2021;Transferência - Liquidação;CSAN3 - COSAN S.A.;NU INVEST CORRETORA DE VALORES S.A.;15; R$19,90 ; R$298,50 
Credito;26/10/2021;Transferência - Liquidação;ITSA4 - ITAUSA S/A;NU INVEST CORRETORA DE VALORES S.A.;39; R$10,35 ; R$403,65 
